id_digit,lat,lng,coordenada,archivo_json
AUVnU,40.9848617,-3.6854033,"[-3.6854033, 40.9848617]",110_11.json
whZyP,40.6894569,-4.5379439,"[-4.5379439, 40.6894569]",46_52.json
bfX9T,40.988495,-3.6829117,"[-3.6829117, 40.988495]",110_10.json
eUE32,40.6897517,-4.5326233,"[-4.5326233, 40.6897517]",46_52.json
QbRqd,40.6909967,-4.5320317,"[-4.5320317, 40.6909967]",46_52.json
MMP11,38.8611287,-6.4063359,"[-6.4063359, 38.8611287]",
MMP21,38.8611551,-6.4045264,"[-6.4045264, 38.8611551]",
MMP31,38.8595393,-6.405037,"[-6.405037, 38.8595393]",
PTM11,38.7877066,-7.1810883,"[-7.1810883, 38.7877066]",
PTM21,38.7815406,-7.1800308,"[-7.1800308, 38.7815406]",
PTM31,38.7917445,-7.1778321,"[-7.1778321, 38.7917445]",
w3GtG,42.3709228,2.2991324,"[2.2991324, 42.3709228]",2282_0.json
aih7X,42.3720013,2.3002231,"[2.3002231, 42.3720013]",2282_0.json
iohCR,42.3713312,2.2997181,"[2.2997181, 42.3713312]",2282_0.json
ziqBx,42.3807912,2.3022141,"[2.3022141, 42.3807912]",2282_0.json
4dcSz,42.1091222,-7.1274595,"[-7.1274595, 42.1091222]",
VSmHd,42.1124044,-7.112302,"[-7.112302, 42.1124044]",
zxEiG,42.112443,-7.111994,"[-7.111994, 42.112443]",
LR1,42.2999421,-2.6743384,"[-2.6743384, 42.2999421]",
LR2,42.3026415,-2.6669268,"[-2.6669268, 42.3026415]",
LR3,42.2900667,-2.6583732,"[-2.6583732, 42.2900667]",1361_1.json
LR4,42.2921101,-2.6687829,"[-2.6687829, 42.2921101]",
LR7,42.2889519,-2.811498,"[-2.811498, 42.2889519]",3_23.json
LR8,42.28854,-2.81164,"[-2.81164, 42.28854]",3_23.json
LR9,42.2966605,-2.7979369,"[-2.7979369, 42.2966605]",3_23.json
LR13,42.2108464,-2.783807,"[-2.783807, 42.2108464]",
LR14,42.210563,-2.784346,"[-2.784346, 42.210563]",
LR1,42.2999421,-2.6743384,"[-2.6743384, 42.2999421]",
LR2,42.3026415,-2.6669268,"[-2.6669268, 42.3026415]",
LR3,42.2900667,-2.6583732,"[-2.6583732, 42.2900667]",1361_1.json
LR4,42.2921101,-2.6687829,"[-2.6687829, 42.2921101]",
LR5,42.2727357,-2.7663925,"[-2.7663925, 42.2727357]",
LR6,42.2724509,-2.7668609,"[-2.7668609, 42.2724509]",
LR7,42.2889519,-2.811498,"[-2.811498, 42.2889519]",3_23.json
LR8,42.28854,-2.81164,"[-2.81164, 42.28854]",3_23.json
LR10,42.2320376,-2.8085977,"[-2.8085977, 42.2320376]",
LR11,42.2317045,-2.8084502,"[-2.8084502, 42.2317045]",
LR13,42.2108464,-2.783807,"[-2.783807, 42.2108464]",
LR14,42.210563,-2.784346,"[-2.784346, 42.210563]",
LR15,42.2242861,-2.8020079,"[-2.8020079, 42.2242861]",
